"DITA File Path","Document Type","Schematron Name","Severity","Gate","Rule Code","Error / Warning Description"
"output\sample3\sample3.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <mapref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample3.ditamap","MAP","DITA2_content_model.sch","ERROR","Gate 3","CM-MAP","[CM-MAP] <mapref> is not a permitted child of <map> per the DITA 2.0 DTD. Permitted children: title topicmeta anchor data data-about navref reltable topicref."
"output\sample3\sample_document\complex_tables.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\sample3\sample_document\complex_tables.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\sample3\sample_document\complex_tables.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\sample3\sample_document\complex_tables.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\sample3\sample_document\complex_tables.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\sample3\sample_document\complex_tables.dita","REFERENCE","reference_structural_rules.sch","WARNING","Gate 2","QUALITY-007","[QUALITY-007] <section> has no @id and cannot be the target of a cross-reference. Add @id if this section needs to be linked to."
"output\sample3\sample_document\images.dita","CONCEPT","concept_structural_rules.sch","WARNING","Gate 2","MEDIA-002","[MEDIA-002] <image> should have an <alt> child for accessibility."
"output\sample3\sample_document\images.dita","CONCEPT","concept_structural_rules.sch","WARNING","Gate 2","MEDIA-002","[MEDIA-002] <image> should have an <alt> child for accessibility."
"output\sample3\sample_document\images.dita","CONCEPT","concept_structural_rules.sch","WARNING","Gate 2","MEDIA-007","[MEDIA-007] <fig> should have a <title> for figure numbering and cross-referencing."
"output\sample3\sample_document\images.dita","CONCEPT","concept_structural_rules.sch","WARNING","Gate 2","MEDIA-007","[MEDIA-007] <fig> should have a <title> for figure numbering and cross-referencing."
"output\sample3\sample_document\images.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: <image> element with href=""../media/image1.gif"" is missing the required @width attribute."
"output\sample3\sample_document\images.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: <image> element with href=""../media/image1.gif"" is missing the required @height attribute."
"output\sample3\sample_document\images.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: <image> element with href=""../media/image2.png"" is missing the required @width attribute."
"output\sample3\sample_document\images.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: <image> element with href=""../media/image2.png"" is missing the required @height attribute."
"output\sample3\sample_document\simple_tables.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\sample3\sample_document\simple_tables.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\sample3\sample_document\simple_tables.dita","REFERENCE","reference_validation.sch","ERROR","Gate 1","","Error: Attribute ""colnum"" on <colspec> is not permitted in a DITA 2.0 reference document."
"output\sample3\sample_document\simple_tables.dita","REFERENCE","reference_structural_rules.sch","WARNING","Gate 2","QUALITY-007","[QUALITY-007] <section> has no @id and cannot be the target of a cross-reference. Add @id if this section needs to be linked to."
"output\sample3\sample_document\tables.dita","CONCEPT","concept_structural_rules.sch","WARNING","Gate 2","CONCEPT-009","[CONCEPT-009] <conbody> is empty. Add conceptual content."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
"output\sample3\sample_document_map.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <topicref> is not permitted in a DITA 2.0 map document."
