"No","DITA File Path","Document Type","Transformation Status","XSLT Pipeline Applied","Failed XSLT","Error Line","Error Description"
"1","output\sample3\sample3.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
"2","output\sample3\sample_document\columns.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"3","output\sample3\sample_document\complex_tables.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"4","output\sample3\sample_document\headings.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"5","output\sample3\sample_document\images.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"6","output\sample3\sample_document\links.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"7","output\sample3\sample_document\lists.dita","TASK","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> task.xsl","","",""
"8","output\sample3\sample_document\sample_document.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"9","output\sample3\sample_document\simple_tables.dita","REFERENCE","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> reference.xsl","","",""
"10","output\sample3\sample_document\tables.dita","CONCEPT","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> concept.xsl","","",""
"11","output\sample3\sample_document_map.ditamap","MAP","SUCCESS","unescape-tags.xsl -> fix_p_warning_to_note.xsl -> fix_consecutive_p_to_list.xsl -> table.xsl -> codeblock.xsl -> map.xsl","","",""
